# 23 directories
# dir   1  /btl
# dir   2  /btl/char
# dir   3  /btl/common
# dir   4  /btl/cut_in
# dir   5  /btl/debug
# dir   6  /btl/eff
# dir   7  /btl/magic
# dir   8  /btl/map
# dir   9  /btl/prm
# dir  10  /fc
# dir  11  /item
# dir  12  /item/icon
# dir  13  /m
# dir  14  /m/misc
# dir  15  /m/misc/2D
# dir  16  /m/misc/etc
# dir  17  /menu
# dir  18  /menu/monsterbook
# dir  19  /menu/spirlink
# dir  20  /movie
# dir  21  /s
# dir  22  /s/lvd
# dir  23  /title
# fat_id	start	end	size	path
421	137240576	137255413	14837	/s/C4501
422	137255424	137274862	19438	/s/C4502
423	137274880	137301622	26742	/s/C4503
424	137302016	137325407	23391	/s/C4504
425	137325568	137354893	29325	/s/C4505
426	137355264	137377515	22251	/s/C4601
427	137377792	137400876	23084	/s/C4602
428	137401344	137421778	20434	/s/C4603
429	137421824	137436828	15004	/s/C4604
430	137437184	137448567	11383	/s/C4605
431	137448960	137475371	26411	/s/C4606
432	137475584	137508595	33011	/s/C4607
433	137508864	137540387	31523	/s/C4608
434	137540608	137575492	34884	/s/C4609
435	137575936	137603565	27629	/s/C4610
436	137603584	137632233	28649	/s/C4611
437	137632256	137664513	32257	/s/C4612
438	137665024	137685681	20657	/s/C4613
439	137686016	137707075	21059	/s/C4701
440	137707520	137721914	14394	/s/C4702
441	137722368	137735374	13006	/s/C4703
442	137735680	137769478	33798	/s/C4704
443	137769984	137787122	17138	/s/C4705
444	137787392	137799564	12172	/s/C4706
445	137799680	137812803	13123	/s/C4707
446	137812992	137827096	14104	/s/C4708
447	137827328	137846471	19143	/s/C4709
448	137846784	137878090	31306	/s/C4801
449	137878528	137916868	38340	/s/C4802
450	137916928	137940417	23489	/s/C4803
451	137940480	137974408	33928	/s/C4804
452	137974784	137999031	24247	/s/C4805
453	137999360	138021786	22426	/s/C4806
454	138021888	138041188	19300	/s/C4807
455	138041344	138062244	20900	/s/C4901
456	138062336	138078998	16662	/s/C4902
457	138079232	138087729	8497	/s/C4903
458	138087936	138110879	22943	/s/C4904
459	138110976	138130225	19249	/s/C4905
460	138130432	138178853	48421	/s/C4906
461	138179072	138204886	25814	/s/C4907
462	138205184	138229190	24006	/s/C5001
463	138229248	138255623	26375	/s/C5002
464	138255872	138289694	33822	/s/C5003
465	138290176	138315881	25705	/s/C5004
466	138316288	138347456	31168	/s/C5005
467	138347520	138373243	25723	/s/C5006
468	138373632	138395460	21828	/s/C5007
469	138395648	138403380	7732	/s/C5008
470	138403840	138422220	18380	/s/C5009
471	138422272	138448339	26067	/s/C5101
472	138448384	138473403	25019	/s/C5102
473	138473472	138501393	27921	/s/C5103
474	138501632	138531760	30128	/s/C5104
475	138531840	138557065	25225	/s/C5105
476	138557440	138593854	36414	/s/C5201
477	138594304	138627758	33454	/s/C5202
478	138628096	138670943	42847	/s/C5203
479	138671104	138697082	25978	/s/C5204
480	138697216	138720404	23188	/s/C5205
481	138720768	138744261	23493	/s/C5301
482	138744320	138769202	24882	/s/C5302
483	138769408	138787509	18101	/s/C5303
484	138787840	138808515	20675	/s/C5304
485	138808832	138846127	37295	/s/C5305
486	138846208	138877044	30836	/s/C5306
487	138877440	138904359	26919	/s/C5307
488	138904576	138937718	33142	/s/C5401
489	138937856	138957495	19639	/s/C5402
490	138957824	138993516	35692	/s/C5403
491	138993664	139004447	10783	/s/C5404
492	139004928	139037678	32750	/s/C5405
493	139037696	139063538	25842	/s/C5406
494	139063808	139090821	27013	/s/C5407
495	139090944	139115377	24433	/s/C5501
496	139115520	139129426	13906	/s/C5502
497	139129856	139165813	35957	/s/C5503
498	139166208	139169587	3379	/s/C5504
499	139169792	139192047	22255	/s/C5505
500	139192320	139201575	9255	/s/C5506
501	139202048	139255266	53218	/s/C5601
502	139255296	139277593	22297	/s/C5602
503	139277824	139319968	42144	/s/C5603
504	139320320	139329974	9654	/s/C5604
505	139330048	139357669	27621	/s/C5605
506	139357696	139368514	10818	/s/C5606
507	139368960	139390153	21193	/s/C5606b
508	139390464	139397136	6672	/s/C5701
509	139397632	139414595	16963	/s/C5702
510	139415040	139442081	27041	/s/C5703
511	139442176	139468763	26587	/s/C5704
512	139468800	139509576	40776	/s/C5705
513	139509760	139531970	22210	/s/C5706
514	139532288	139551603	19315	/s/C5801
515	139551744	139575200	23456	/s/C5802
516	139575296	139578647	3351	/s/C5803
517	139578880	139594512	15632	/s/C5804
518	139594752	139610734	15982	/s/C5805
519	139611136	139620183	9047	/s/C5806
520	139620352	139629528	9176	/s/C5807
521	139629568	139651240	21672	/s/C5901
522	139651584	139670525	18941	/s/C5902
523	139670528	139691423	20895	/s/C5903
524	139691520	139719741	28221	/s/C5904
525	139720192	139737962	17770	/s/C6001
526	139738112	139772534	34422	/s/C6002
527	139772928	139801555	28627	/s/C6003
528	139801600	139822266	20666	/s/C6004
529	139822592	139851452	28860	/s/C6005
530	139851776	139872080	20304	/s/C6006
531	139872256	139891274	19018	/s/C6007
532	139891712	139915764	24052	/s/C6008
533	139915776	139933953	18177	/s/C6009
534	139934208	139952492	18284	/s/C6010
535	139952640	139968707	16067	/s/C6011
536	139969024	139976271	7247	/s/C6012
537	139976704	139982674	5970	/s/C6013
538	139982848	139996912	14064	/s/C6101
539	139997184	140012551	15367	/s/C6102
540	140013056	140037553	24497	/s/C6103
541	140037632	140046902	9270	/s/C6104
542	140047360	140070088	22728	/s/C6105
543	140070400	140085058	14658	/s/C6106
544	140085248	140101235	15987	/s/C6107
545	140101632	140118706	17074	/s/C6201
546	140119040	140127884	8844	/s/C6202
547	140128256	140149794	21538	/s/C6203
548	140150272	140172445	22173	/s/C6204
549	140172800	140185031	12231	/s/C6205
550	140185088	140203236	18148	/s/C6301
551	140203520	140220924	17404	/s/C6302
552	140220928	140247883	26955	/s/C6303
553	140248064	140251050	2986	/s/C6304
554	140251136	140267633	16497	/s/C6305
